age,country,visa_type,employment_status,financial_support,travel_history,purpose,duration,sponsorship,risk_score,risk_flag
18,Germany,Student,Unemployed,1063,2,Education,12,Yes,3.5,0
48,Pakistan,Tourist,Employed,8168,2,Leisure,14,Yes,3.0,0
34,South Africa,Business,Unemployed,500,1,Business Meeting,61,No,5.5,1
42,Nigeria,Tourist,Employed,6104,3,Leisure,27,Yes,3.0,0
35,Egypt,Tourist,Employed,6404,3,Leisure,13,Yes,2.0,0
60,Germany,Student,Student,6580,4,Education,20,Yes,0.0,0
32,UK,Business,Employed,10813,2,Business Meeting,25,No,1.0,0
49,USA,Tourist,Employed,5504,3,Family Visit,8,No,1.0,0
20,Nigeria,Work,Self-Employed,7754,0,Employment,157,Yes,4.0,1
39,Germany,Business,Employed,4395,3,Business Meeting,34,Yes,0.0,0
40,USA,Student,Unemployed,500,2,Education,40,Yes,3.5,0
35,South Africa,Tourist,Unemployed,1130,0,Family Visit,21,No,6.0,1
53,Nigeria,Student,Employed,2450,3,Education,26,No,4.0,1
60,UK,Work,Employed,7936,4,Employment,181,Yes,0.5,0
51,UK,Work,Employed,9626,4,Employment,177,Yes,0.5,0
27,Egypt,Business,Self-Employed,8192,1,Business Meeting,20,No,3.0,0
46,USA,Work,Employed,5203,2,Employment,156,Yes,0.5,0
55,Ghana,Work,Student,2000,0,Employment,156,Yes,3.0,0
51,Germany,Work,Employed,7458,4,Employment,63,Yes,0.0,0
59,Ghana,Work,Employed,3418,4,Employment,131,Yes,2.5,0
52,South Africa,Tourist,Employed,10281,2,Leisure,11,No,2.0,0
44,USA,Business,Employed,4934,5,Business Meeting,36,No,1.0,0
27,Germany,Work,Employed,5913,0,Employment,100,Yes,1.0,0
19,Ghana,Student,Unemployed,968,2,Education,33,No,6.5,1
32,Egypt,Work,Unemployed,1503,3,Employment,256,Yes,4.5,1
23,USA,Business,Employed,6151,1,Business Meeting,52,No,1.0,0
59,Pakistan,Student,Employed,3495,2,Education,8,No,4.0,1
26,Pakistan,Work,Employed,8056,3,Employment,171,Yes,3.5,0
44,Nigeria,Tourist,Self-Employed,4314,4,Family Visit,17,Yes,3.0,0
31,Kenya,Tourist,Employed,4090,1,Family Visit,14,No,3.0,0
38,Pakistan,Business,Student,3968,1,Business Meeting,36,No,4.0,1
56,Nigeria,Business,Student,2860,1,Business Meeting,17,No,4.0,1
56,Egypt,Tourist,Employed,2000,2,Family Visit,11,No,3.0,0
33,Nigeria,Business,Self-Employed,6440,0,Business Meeting,22,Yes,3.5,0
51,UK,Tourist,Employed,6133,3,Family Visit,22,No,1.0,0
36,Germany,Business,Employed,8605,1,Business Meeting,4,Yes,0.0,0
51,Nigeria,Work,Employed,7752,1,Employment,216,Yes,3.5,0
23,Pakistan,Tourist,Employed,7335,4,Leisure,8,No,4.0,1
46,USA,Tourist,Employed,7897,1,Leisure,10,No,1.0,0
34,India,Student,Unemployed,614,2,Education,54,No,6.5,1
25,Ghana,Tourist,Employed,2960,0,Family Visit,7,No,3.5,0
51,India,Business,Student,2807,2,Business Meeting,29,No,3.0,0
28,Egypt,Business,Employed,4704,2,Business Meeting,35,Yes,2.0,0
39,Ghana,Work,Employed,7933,2,Employment,235,Yes,2.5,0
29,Ghana,Tourist,Employed,3311,5,Family Visit,16,No,3.0,0
36,Pakistan,Work,Employed,4735,6,Employment,112,Yes,3.5,0
30,Ghana,Tourist,Unemployed,1831,2,Family Visit,16,Yes,4.0,1
49,Pakistan,Tourist,Unemployed,1326,0,Family Visit,20,Yes,7.0,1
60,Egypt,Business,Employed,2128,1,Business Meeting,27,No,3.0,0
56,Egypt,Tourist,Employed,9289,4,Family Visit,7,No,3.0,0
31,South Africa,Tourist,Employed,5448,4,Leisure,15,No,2.0,0
27,Nigeria,Tourist,Unemployed,1491,0,Family Visit,7,No,8.0,1
21,India,Tourist,Employed,12616,2,Leisure,22,Yes,2.0,0
57,Germany,Work,Self-Employed,4842,4,Employment,206,Yes,0.5,0
41,Egypt,Tourist,Employed,9176,3,Family Visit,15,No,3.0,0
22,UK,Business,Student,7569,0,Business Meeting,28,Yes,0.5,0
26,Pakistan,Tourist,Unemployed,672,1,Family Visit,12,No,7.5,1
51,UK,Work,Unemployed,852,3,Employment,267,Yes,4.0,1
21,Egypt,Tourist,Employed,2000,3,Leisure,7,No,3.0,0
36,Egypt,Business,Unemployed,500,3,Business Meeting,43,No,6.5,1
54,South Africa,Student,Self-Employed,5336,3,Education,31,No,2.0,0
51,Pakistan,Business,Employed,5655,1,Business Meeting,38,Yes,3.0,0
32,Egypt,Student,Self-Employed,8134,2,Education,76,Yes,2.0,0
47,Nigeria,Tourist,Student,5483,1,Leisure,7,No,4.0,1
44,UK,Tourist,Employed,10032,2,Leisure,23,Yes,0.0,0
36,Kenya,Student,Student,10794,0,Education,41,No,3.5,0
53,South Africa,Student,Student,4333,4,Education,30,Yes,1.0,0
39,USA,Business,Student,6465,0,Business Meeting,35,No,1.5,0
29,Nigeria,Work,Employed,2000,2,Employment,167,Yes,3.5,0
48,USA,Business,Student,2904,3,Business Meeting,23,No,1.0,0
27,Pakistan,Business,Student,8193,3,Business Meeting,38,No,4.0,1
47,USA,Business,Self-Employed,12555,2,Business Meeting,19,Yes,0.0,0
37,South Africa,Student,Employed,3474,5,Education,31,Yes,1.0,0
39,Egypt,Student,Employed,4007,5,Education,1,Yes,2.0,0
39,Nigeria,Business,Unemployed,837,3,Business Meeting,41,No,7.5,1
56,Egypt,Business,Employed,8819,2,Business Meeting,24,Yes,2.0,0
38,Germany,Tourist,Employed,8230,4,Leisure,12,No,1.0,0
41,Kenya,Business,Student,4688,2,Business Meeting,5,No,3.0,0
37,South Africa,Work,Employed,7828,7,Employment,86,Yes,1.0,0
30,Nigeria,Tourist,Employed,6253,1,Leisure,7,No,4.0,1
27,South Africa,Work,Employed,8868,2,Employment,319,Yes,1.5,0
51,Pakistan,Student,Student,9613,3,Education,32,Yes,3.0,0
51,India,Work,Employed,7356,1,Employment,107,Yes,2.5,0
47,Nigeria,Business,Student,2170,4,Business Meeting,17,No,4.0,1
37,Nigeria,Tourist,Unemployed,616,8,Leisure,14,No,7.5,1
24,Nigeria,Student,Employed,6226,0,Education,14,No,4.5,1
38,Kenya,Work,Employed,4558,1,Employment,332,Yes,2.5,0
52,Germany,Student,Student,5880,3,Education,8,No,1.0,0
27,Germany,Work,Employed,2000,1,Employment,229,Yes,0.5,0
57,Nigeria,Tourist,Employed,5227,2,Family Visit,13,No,4.0,1
27,Germany,Student,Employed,5848,0,Education,17,Yes,0.5,0
57,Germany,Student,Employed,6448,2,Education,31,Yes,0.0,0
48,Nigeria,Tourist,Employed,7561,6,Leisure,16,Yes,3.0,0
29,UK,Business,Unemployed,653,1,Business Meeting,20,No,4.5,1
60,Kenya,Tourist,Self-Employed,9101,3,Family Visit,11,No,3.0,0
47,India,Tourist,Employed,5627,4,Family Visit,12,No,3.0,0
27,Kenya,Student,Self-Employed,5882,0,Education,3,No,3.5,0
38,USA,Business,Employed,6412,2,Business Meeting,73,Yes,0.0,0
40,India,Business,Employed,13653,0,Business Meeting,39,Yes,2.5,0
56,USA,Work,Employed,8383,1,Employment,238,Yes,0.5,0
24,UK,Student,Employed,3701,1,Education,13,Yes,0.0,0
52,Germany,Business,Employed,4756,4,Business Meeting,15,No,1.0,0
33,Egypt,Work,Self-Employed,7380,1,Employment,193,Yes,2.5,0
22,UK,Student,Employed,8975,2,Education,32,No,1.0,0
45,UK,Student,Employed,3246,1,Education,55,Yes,0.0,0
54,India,Business,Employed,7668,3,Business Meeting,21,No,3.0,0
53,USA,Tourist,Student,3460,0,Leisure,20,No,1.5,0
22,UK,Tourist,Unemployed,1131,1,Family Visit,12,No,4.5,1
23,Nigeria,Work,Student,2000,2,Employment,253,Yes,3.5,0
58,Egypt,Tourist,Student,6321,4,Leisure,7,No,3.0,0
42,Germany,Business,Employed,3467,3,Business Meeting,39,No,1.0,0
37,USA,Student,Self-Employed,4781,2,Education,-8,No,1.0,0
23,USA,Tourist,Unemployed,1300,2,Family Visit,20,No,4.5,1
21,Germany,Student,Self-Employed,7195,1,Education,16,No,1.0,0
53,Nigeria,Student,Employed,8029,2,Education,25,Yes,3.0,0
33,Nigeria,Business,Student,8252,2,Business Meeting,39,No,4.0,1
42,USA,Business,Employed,8632,3,Business Meeting,27,No,1.0,0
48,Ghana,Work,Employed,4797,1,Employment,228,Yes,2.5,0
41,UK,Business,Employed,2000,1,Business Meeting,22,No,1.0,0
26,Ghana,Tourist,Employed,7835,2,Leisure,7,Yes,2.0,0
60,Pakistan,Business,Self-Employed,6817,2,Business Meeting,36,Yes,3.0,0
59,Ghana,Business,Student,4911,2,Business Meeting,16,No,3.0,0
45,Egypt,Work,Employed,2000,3,Employment,223,Yes,2.5,0
53,UK,Business,Employed,4770,1,Business Meeting,41,Yes,0.0,0
56,UK,Tourist,Employed,2000,1,Leisure,7,No,1.0,0
44,Germany,Student,Employed,4076,6,Education,39,Yes,0.0,0
41,Pakistan,Tourist,Employed,7794,3,Leisure,7,Yes,3.0,0
35,South Africa,Business,Employed,12041,2,Business Meeting,38,No,2.0,0
23,Egypt,Work,Employed,8573,2,Employment,213,Yes,2.5,0
58,India,Student,Unemployed,500,2,Education,24,No,6.5,1
18,South Africa,Business,Employed,5182,1,Business Meeting,48,No,2.0,0
39,Egypt,Business,Employed,4029,5,Business Meeting,26,No,3.0,0
36,Germany,Work,Employed,6669,1,Employment,108,Yes,0.5,0
37,Egypt,Student,Employed,9252,3,Education,33,No,3.0,0
54,Ghana,Tourist,Unemployed,1237,1,Family Visit,7,No,6.5,1
19,Egypt,Student,Employed,6768,2,Education,47,Yes,2.0,0
35,India,Student,Employed,5108,4,Education,25,Yes,2.0,0
18,Germany,Tourist,Unemployed,826,0,Leisure,19,No,5.0,1
29,USA,Student,Student,7009,0,Education,43,Yes,0.5,0
51,Ghana,Tourist,Employed,2000,3,Leisure,10,No,3.0,0
27,Egypt,Business,Student,5175,1,Business Meeting,-3,No,3.0,0
33,UK,Business,Student,7841,5,Business Meeting,35,Yes,0.0,0
40,Egypt,Tourist,Unemployed,500,1,Leisure,7,Yes,5.5,1
43,Pakistan,Business,Employed,5861,2,Business Meeting,31,No,4.0,1
32,South Africa,Business,Unemployed,881,3,Business Meeting,25,No,5.5,1
27,Germany,Business,Employed,2000,2,Business Meeting,17,No,1.0,0
42,Pakistan,Student,Self-Employed,2711,3,Education,28,No,4.0,1
24,Nigeria,Student,Self-Employed,13715,2,Education,-3,No,4.0,1
39,Germany,Student,Employed,4426,4,Education,38,Yes,0.0,0
43,Egypt,Business,Student,8526,2,Business Meeting,30,No,3.0,0
30,Egypt,Student,Unemployed,500,2,Education,35,No,6.5,1
53,USA,Tourist,Unemployed,500,1,Leisure,7,Yes,3.5,0
51,India,Tourist,Unemployed,1051,0,Family Visit,15,Yes,6.0,1
34,Germany,Work,Employed,9276,3,Employment,91,Yes,0.5,0
23,Egypt,Tourist,Self-Employed,6186,0,Leisure,8,No,3.5,0
25,India,Tourist,Student,2436,2,Leisure,11,No,3.0,0
29,Egypt,Tourist,Unemployed,1104,0,Family Visit,8,Yes,6.0,1
58,India,Business,Self-Employed,5384,1,Business Meeting,46,Yes,2.0,0
60,UK,Student,Employed,3707,3,Education,43,No,1.0,0
21,Germany,Business,Employed,4289,1,Business Meeting,12,No,1.0,0
34,Germany,Work,Employed,8777,5,Employment,174,Yes,0.5,0
30,Pakistan,Business,Employed,3686,1,Business Meeting,3,No,4.0,1
52,Ghana,Business,Employed,6321,1,Business Meeting,24,No,3.0,0
34,Pakistan,Tourist,Employed,8063,4,Leisure,9,No,4.0,1
46,Germany,Tourist,Student,3907,1,Leisure,7,No,1.0,0
20,Nigeria,Business,Employed,6645,2,Business Meeting,41,No,4.0,1
54,UK,Tourist,Employed,6959,1,Family Visit,7,No,1.0,0
22,UK,Work,Employed,11113,3,Employment,113,Yes,0.5,0
25,Pakistan,Student,Employed,2891,3,Education,26,No,4.0,1
58,Nigeria,Tourist,Employed,2000,3,Family Visit,13,Yes,3.0,0
36,Pakistan,Work,Employed,10546,1,Employment,202,Yes,3.5,0
42,Nigeria,Work,Employed,5490,1,Employment,278,Yes,3.5,0
24,UK,Student,Employed,4553,4,Education,46,No,1.0,0
30,Pakistan,Work,Employed,7586,2,Employment,172,Yes,3.5,0
55,Nigeria,Work,Employed,4766,3,Employment,241,Yes,3.5,0
52,India,Student,Employed,5614,5,Education,20,No,3.0,0
19,Pakistan,Tourist,Employed,6496,4,Family Visit,7,No,4.0,1
43,Nigeria,Tourist,Employed,2342,0,Family Visit,13,No,4.5,1
27,South Africa,Work,Self-Employed,5318,2,Employment,171,Yes,1.5,0
27,Nigeria,Business,Unemployed,873,1,Business Meeting,40,No,7.5,1
20,Egypt,Work,Student,7324,1,Employment,154,Yes,2.5,0
18,Ghana,Work,Unemployed,1307,0,Employment,44,Yes,6.0,1
24,Germany,Business,Unemployed,627,0,Business Meeting,20,No,5.0,1
24,India,Tourist,Employed,4136,1,Leisure,20,Yes,2.0,0
45,Kenya,Student,Student,4850,0,Education,38,No,3.5,0
38,UK,Tourist,Self-Employed,9876,5,Leisure,8,No,1.0,0
20,Kenya,Work,Employed,2833,2,Employment,158,Yes,2.5,0
35,India,Work,Student,2000,2,Employment,308,Yes,2.5,0
41,Ghana,Work,Employed,12107,3,Employment,208,Yes,2.5,0
20,Egypt,Work,Employed,5482,1,Employment,218,Yes,2.5,0
42,Egypt,Work,Employed,5809,5,Employment,92,Yes,2.5,0
23,Pakistan,Tourist,Employed,4126,6,Leisure,19,No,4.0,1
36,Egypt,Business,Unemployed,785,1,Business Meeting,31,No,6.5,1
26,Pakistan,Work,Employed,4566,2,Employment,112,Yes,3.5,0
51,Germany,Business,Employed,2000,5,Business Meeting,30,No,1.0,0
20,Egypt,Work,Student,4066,1,Employment,15,Yes,2.0,0
23,Egypt,Student,Employed,9558,1,Education,53,Yes,2.0,0
30,Kenya,Tourist,Self-Employed,3738,0,Leisure,16,No,3.5,0
50,South Africa,Work,Employed,9481,0,Employment,199,Yes,2.0,0
35,Kenya,Tourist,Employed,7228,0,Leisure,12,No,3.5,0
49,Pakistan,Work,Employed,2000,1,Employment,221,Yes,3.5,0
21,Nigeria,Student,Employed,7458,3,Education,25,No,4.0,1
57,USA,Business,Employed,6230,2,Business Meeting,9,No,1.0,0
29,South Africa,Work,Student,7978,1,Employment,285,Yes,1.5,0
50,Pakistan,Tourist,Employed,9115,2,Leisure,14,No,4.0,1
55,Egypt,Student,Employed,3190,4,Education,12,No,3.0,0
32,USA,Tourist,Employed,11147,3,Leisure,13,Yes,0.0,0
30,UK,Business,Student,3778,3,Business Meeting,42,Yes,0.0,0
49,Egypt,Tourist,Student,12254,1,Leisure,7,Yes,2.0,0
47,Egypt,Work,Employed,8359,3,Employment,146,Yes,2.5,0
47,Ghana,Work,Unemployed,696,3,Employment,274,Yes,6.0,1
30,Germany,Student,Employed,5607,1,Education,46,No,1.0,0
35,Nigeria,Work,Employed,9030,2,Employment,177,Yes,3.5,0
47,Pakistan,Business,Employed,6748,3,Business Meeting,29,No,4.0,1
56,Germany,Work,Student,10156,3,Employment,153,Yes,0.5,0
28,Egypt,Work,Employed,6115,3,Employment,36,Yes,2.0,0
49,South Africa,Work,Employed,7353,4,Employment,151,Yes,1.5,0
35,Pakistan,Tourist,Student,3146,1,Leisure,11,Yes,3.0,0
55,UK,Work,Student,4307,3,Employment,90,Yes,0.0,0
27,Egypt,Tourist,Employed,6205,1,Leisure,7,Yes,2.0,0
50,Pakistan,Tourist,Employed,11133,4,Family Visit,17,No,4.0,1
46,India,Business,Employed,7887,4,Business Meeting,25,No,3.0,0
44,Nigeria,Work,Employed,5923,0,Employment,166,Yes,4.0,1
33,Germany,Tourist,Employed,2000,7,Family Visit,17,Yes,0.0,0
54,Pakistan,Tourist,Self-Employed,2000,0,Family Visit,15,No,4.5,1
29,UK,Student,Unemployed,1428,0,Education,35,No,5.0,1
58,Nigeria,Tourist,Employed,7085,4,Family Visit,16,No,4.0,1
45,Germany,Student,Unemployed,783,1,Education,55,No,4.5,1
31,Egypt,Tourist,Unemployed,776,2,Family Visit,7,No,6.5,1
50,Nigeria,Student,Student,6305,0,Education,35,Yes,3.5,0
47,USA,Tourist,Employed,9068,1,Leisure,12,No,1.0,0
53,India,Work,Employed,7738,1,Employment,264,Yes,2.5,0
33,USA,Tourist,Unemployed,1169,1,Leisure,7,No,4.5,1
38,Kenya,Student,Student,2000,3,Education,35,No,3.0,0
35,UK,Tourist,Employed,5946,2,Family Visit,7,No,1.0,0
51,South Africa,Tourist,Employed,2000,2,Family Visit,12,No,2.0,0
22,USA,Work,Student,7711,0,Employment,160,Yes,1.0,0
23,Pakistan,Tourist,Employed,8899,0,Leisure,9,Yes,3.5,0
24,India,Work,Employed,6088,1,Employment,210,Yes,2.5,0
49,Ghana,Work,Student,6321,2,Employment,160,Yes,2.5,0
58,South Africa,Tourist,Employed,2000,1,Leisure,33,No,2.0,0
46,UK,Tourist,Employed,4275,3,Leisure,9,Yes,0.0,0
51,Kenya,Student,Employed,2000,1,Education,34,No,3.0,0
49,USA,Business,Employed,8547,5,Business Meeting,10,No,1.0,0
28,Germany,Student,Employed,5011,3,Education,4,No,1.0,0
21,Germany,Work,Employed,5985,1,Employment,144,Yes,0.5,0
28,Pakistan,Work,Student,7136,1,Employment,221,Yes,3.5,0
29,Germany,Work,Student,5796,1,Employment,251,Yes,0.5,0
28,Ghana,Work,Employed,2126,3,Employment,199,Yes,2.5,0
54,USA,Work,Employed,3162,1,Employment,195,Yes,0.5,0
29,USA,Work,Employed,10674,0,Employment,77,Yes,0.5,0
60,Nigeria,Student,Self-Employed,2250,3,Education,26,Yes,3.0,0
52,Pakistan,Work,Employed,4209,1,Employment,79,Yes,3.0,0
19,India,Business,Self-Employed,6481,0,Business Meeting,50,No,3.5,0
38,Pakistan,Work,Employed,6940,1,Employment,219,Yes,3.5,0
50,South Africa,Student,Unemployed,1336,2,Education,56,Yes,4.5,1
54,Germany,Work,Student,7075,2,Employment,108,Yes,0.5,0
39,Pakistan,Tourist,Student,5821,2,Leisure,23,Yes,3.0,0
25,South Africa,Student,Employed,6729,2,Education,22,No,2.0,0
46,Kenya,Student,Employed,3297,1,Education,-6,Yes,2.0,0
55,Kenya,Work,Student,9247,2,Employment,104,Yes,2.5,0
30,Germany,Tourist,Employed,4299,0,Family Visit,9,No,1.5,0
50,India,Business,Employed,5524,2,Business Meeting,33,No,3.0,0
50,Egypt,Tourist,Self-Employed,4093,0,Family Visit,15,No,3.5,0
41,UK,Business,Employed,2000,4,Business Meeting,48,Yes,0.0,0
37,USA,Business,Student,2000,4,Business Meeting,50,Yes,0.0,0
44,Pakistan,Business,Employed,2000,2,Business Meeting,22,No,4.0,1
44,UK,Work,Student,5316,2,Employment,222,Yes,0.5,0
23,Egypt,Work,Employed,9571,2,Employment,274,Yes,2.5,0
51,Pakistan,Student,Employed,6112,3,Education,46,No,4.0,1
23,UK,Tourist,Employed,5544,1,Family Visit,21,No,1.0,0
47,South Africa,Work,Employed,5471,6,Employment,6,Yes,1.0,0
36,UK,Business,Employed,2000,2,Business Meeting,14,No,1.0,0
37,Egypt,Business,Employed,7937,3,Business Meeting,13,No,3.0,0
18,Nigeria,Work,Employed,7932,2,Employment,184,Yes,3.5,0
25,Pakistan,Student,Employed,6761,2,Education,16,No,4.0,1
19,Kenya,Tourist,Student,6308,2,Family Visit,7,No,3.0,0
56,India,Student,Employed,10072,3,Education,56,No,3.0,0
58,Germany,Business,Self-Employed,5123,4,Business Meeting,23,No,1.0,0
50,USA,Tourist,Student,2000,1,Leisure,7,No,1.0,0
38,Ghana,Business,Student,6409,1,Business Meeting,30,Yes,2.0,0
21,Ghana,Student,Employed,3850,5,Education,42,No,3.0,0
21,USA,Student,Employed,3562,1,Education,61,No,1.0,0
50,India,Work,Student,10104,2,Employment,187,Yes,2.5,0
24,Ghana,Work,Employed,6007,2,Employment,288,Yes,2.5,0
37,USA,Student,Unemployed,1342,1,Education,-2,No,4.5,1
52,India,Student,Student,10959,4,Education,39,Yes,2.0,0
36,South Africa,Student,Student,6282,3,Education,14,No,2.0,0
24,Ghana,Work,Employed,7495,1,Employment,225,Yes,2.5,0
30,Kenya,Tourist,Employed,8816,1,Leisure,7,Yes,2.0,0
19,Ghana,Business,Employed,5145,1,Business Meeting,39,No,3.0,0
46,Ghana,Student,Employed,2000,2,Education,47,No,3.0,0
32,India,Work,Student,5357,1,Employment,230,Yes,2.5,0
32,Ghana,Student,Employed,9420,4,Education,17,Yes,2.0,0
45,India,Tourist,Employed,6413,7,Family Visit,27,No,3.0,0
30,Nigeria,Tourist,Employed,5667,1,Leisure,11,No,4.0,1
20,Germany,Tourist,Employed,5869,2,Leisure,11,No,1.0,0
56,India,Work,Employed,7507,2,Employment,126,Yes,2.5,0
29,Kenya,Student,Employed,3856,1,Education,32,Yes,2.0,0
55,Germany,Student,Employed,7765,5,Education,40,No,1.0,0
33,Egypt,Tourist,Employed,9887,2,Leisure,17,No,3.0,0
36,Kenya,Work,Self-Employed,10131,3,Employment,241,Yes,2.5,0
18,South Africa,Tourist,Self-Employed,6223,1,Family Visit,21,No,2.0,0
29,Egypt,Business,Unemployed,1024,1,Business Meeting,40,Yes,5.5,1
42,USA,Business,Employed,6540,4,Business Meeting,25,Yes,0.0,0
38,India,Tourist,Employed,4976,5,Leisure,17,No,3.0,0
36,USA,Tourist,Employed,8216,1,Family Visit,22,Yes,0.0,0
47,Germany,Student,Unemployed,1027,3,Education,22,No,4.5,1
53,Kenya,Business,Employed,2109,1,Business Meeting,20,No,3.0,0
22,Kenya,Business,Self-Employed,5593,3,Business Meeting,41,No,3.0,0
49,Nigeria,Tourist,Employed,7195,1,Leisure,15,Yes,3.0,0
43,UK,Tourist,Student,8109,2,Leisure,13,Yes,0.0,0
39,Kenya,Work,Employed,6699,3,Employment,136,Yes,2.5,0
25,UK,Work,Student,2599,1,Employment,200,Yes,0.5,0
35,Pakistan,Student,Student,13013,1,Education,17,No,4.0,1
40,UK,Business,Unemployed,1520,1,Business Meeting,11,No,3.0,0
50,Pakistan,Student,Employed,5379,2,Education,14,No,4.0,1
34,India,Business,Employed,7386,1,Business Meeting,11,No,3.0,0
19,Ghana,Tourist,Student,8850,1,Leisure,22,No,3.0,0
29,Nigeria,Business,Unemployed,588,1,Business Meeting,26,No,7.5,1
57,Germany,Tourist,Student,2988,1,Family Visit,19,No,1.0,0
36,Kenya,Business,Employed,6085,2,Business Meeting,30,Yes,2.0,0
52,USA,Tourist,Self-Employed,5950,2,Leisure,18,No,1.0,0
42,India,Business,Employed,9982,3,Business Meeting,63,No,3.0,0
20,Pakistan,Tourist,Employed,4533,1,Family Visit,9,No,4.0,1
49,Ghana,Business,Employed,3847,3,Business Meeting,24,No,3.0,0
25,Pakistan,Business,Unemployed,500,1,Business Meeting,24,No,7.5,1
48,Egypt,Business,Employed,2000,4,Business Meeting,43,Yes,2.0,0
43,Nigeria,Student,Employed,5514,2,Education,36,No,4.0,1
40,Egypt,Student,Employed,2000,3,Education,24,Yes,2.0,0
26,Nigeria,Student,Employed,3207,3,Education,52,No,4.0,1
58,Nigeria,Student,Employed,9946,3,Education,27,No,4.0,1
44,USA,Student,Employed,8944,3,Education,40,Yes,0.0,0
59,Kenya,Student,Employed,4468,1,Education,24,No,3.0,0
37,India,Tourist,Employed,2000,3,Leisure,21,No,3.0,0
47,Nigeria,Business,Employed,6264,4,Business Meeting,44,No,4.0,1
19,Germany,Business,Employed,5810,2,Business Meeting,20,No,1.0,0
54,UK,Business,Employed,4488,3,Business Meeting,38,Yes,0.0,0
24,Pakistan,Work,Employed,10264,3,Employment,181,Yes,3.5,0
60,South Africa,Student,Employed,2000,3,Education,28,Yes,1.0,0
30,UK,Business,Unemployed,771,2,Business Meeting,49,No,4.5,1
52,India,Work,Employed,4105,0,Employment,183,Yes,3.0,0
37,Nigeria,Business,Student,8374,0,Business Meeting,13,No,4.5,1
55,India,Tourist,Employed,5350,3,Family Visit,7,Yes,2.0,0
48,South Africa,Business,Employed,4185,4,Business Meeting,37,No,2.0,0
50,Germany,Student,Employed,6081,3,Education,14,No,1.0,0
44,Kenya,Business,Employed,8276,2,Business Meeting,34,No,3.0,0
29,South Africa,Tourist,Unemployed,1708,1,Leisure,19,No,4.0,1
60,Kenya,Business,Employed,4198,4,Business Meeting,32,No,3.0,0
45,Egypt,Tourist,Employed,3676,2,Family Visit,11,No,3.0,0
27,Kenya,Student,Student,8730,2,Education,27,No,3.0,0
58,India,Work,Student,6109,2,Employment,234,Yes,2.5,0
36,Germany,Work,Employed,8759,1,Employment,241,Yes,0.5,0
33,Egypt,Business,Employed,2879,7,Business Meeting,40,Yes,2.0,0
33,Nigeria,Student,Employed,3212,1,Education,12,No,4.0,1
45,UK,Tourist,Employed,5335,3,Family Visit,7,Yes,0.0,0
35,Germany,Work,Unemployed,500,2,Employment,238,Yes,4.0,1
49,Nigeria,Tourist,Employed,12221,4,Leisure,8,No,4.0,1
22,Germany,Business,Student,8871,2,Business Meeting,28,No,1.0,0
43,India,Work,Employed,2000,3,Employment,151,Yes,2.5,0
50,Egypt,Tourist,Employed,4387,2,Family Visit,21,No,3.0,0
33,India,Tourist,Student,5656,2,Family Visit,14,No,3.0,0
42,Egypt,Work,Self-Employed,4703,0,Employment,288,Yes,3.0,0
27,Kenya,Tourist,Employed,5569,4,Family Visit,12,No,3.0,0
55,Germany,Tourist,Employed,5653,4,Family Visit,7,No,1.0,0
38,India,Business,Employed,2000,3,Business Meeting,26,Yes,2.0,0
27,Germany,Student,Employed,8695,2,Education,46,No,1.0,0
19,Germany,Tourist,Student,2000,1,Leisure,22,No,1.0,0
34,Kenya,Business,Employed,4896,2,Business Meeting,23,No,3.0,0
25,USA,Work,Student,5484,2,Employment,245,Yes,0.5,0
18,UK,Business,Self-Employed,5230,3,Business Meeting,9,No,1.0,0
23,Germany,Work,Employed,2199,4,Employment,206,Yes,0.5,0
46,Ghana,Student,Student,2000,2,Education,20,No,3.0,0
20,UK,Student,Student,2000,1,Education,33,No,1.0,0
48,Pakistan,Business,Self-Employed,2127,0,Business Meeting,43,No,4.5,1
24,UK,Work,Unemployed,817,3,Employment,210,Yes,4.0,1
22,South Africa,Student,Employed,4686,3,Education,32,No,2.0,0
38,South Africa,Business,Unemployed,1182,3,Business Meeting,19,No,5.5,1
58,Ghana,Business,Student,7474,1,Business Meeting,26,Yes,2.0,0
30,UK,Student,Employed,9907,0,Education,32,Yes,0.5,0
33,Ghana,Work,Student,7717,2,Employment,128,Yes,2.5,0
38,UK,Business,Employed,4113,2,Business Meeting,-9,No,1.0,0
29,Germany,Student,Student,4113,0,Education,57,Yes,0.5,0
41,UK,Work,Employed,7516,3,Employment,211,Yes,0.5,0
54,UK,Work,Employed,8352,0,Employment,126,Yes,1.0,0
53,Nigeria,Work,Self-Employed,4680,4,Employment,144,Yes,3.5,0
30,Pakistan,Student,Student,2704,1,Education,20,Yes,3.0,0
57,UK,Business,Unemployed,500,1,Business Meeting,44,Yes,3.5,0
28,USA,Tourist,Employed,4857,3,Family Visit,7,No,1.0,0
49,Pakistan,Tourist,Employed,3450,2,Leisure,10,Yes,3.0,0
36,Germany,Business,Employed,2000,3,Business Meeting,44,No,1.0,0
56,Kenya,Work,Self-Employed,7839,1,Employment,203,Yes,2.5,0
30,Germany,Business,Employed,5147,2,Business Meeting,41,No,1.0,0
36,Nigeria,Student,Employed,8109,3,Education,67,No,4.0,1
41,Kenya,Business,Employed,6324,4,Business Meeting,16,No,3.0,0
43,USA,Work,Student,2000,2,Employment,124,Yes,0.5,0
56,UK,Student,Employed,9196,4,Education,26,No,1.0,0
